
step 0: train loss 4.1836, val loss 4.1820
iter 0: loss 4.1849, time 68924.98ms, mfu -100.00%
iter 10: loss 4.1068, time 18.80ms, mfu 0.53%
iter 20: loss 3.9619, time 18.84ms, mfu 0.53%
iter 30: loss 3.8581, time 18.49ms, mfu 0.53%
iter 40: loss 3.7183, time 18.90ms, mfu 0.53%
iter 50: loss 3.5617, time 20.24ms, mfu 0.53%
iter 60: loss 3.3903, time 19.18ms, mfu 0.53%
iter 70: loss 3.2515, time 19.12ms, mfu 0.53%
iter 80: loss 3.1514, time 18.61ms, mfu 0.53%
iter 90: loss 3.0443, time 19.30ms, mfu 0.53%
iter 100: loss 2.9485, time 19.28ms, mfu 0.53%
iter 110: loss 2.8717, time 19.82ms, mfu 0.52%
iter 120: loss 2.8204, time 19.12ms, mfu 0.52%
iter 130: loss 2.7663, time 18.54ms, mfu 0.53%
iter 140: loss 2.7158, time 19.33ms, mfu 0.52%
iter 150: loss 2.7117, time 18.67ms, mfu 0.53%
iter 160: loss 2.6752, time 18.94ms, mfu 0.53%
iter 170: loss 2.6575, time 20.89ms, mfu 0.52%
iter 180: loss 2.6383, time 18.42ms, mfu 0.52%
iter 190: loss 2.6185, time 18.33ms, mfu 0.53%
iter 200: loss 2.6184, time 20.20ms, mfu 0.52%
iter 210: loss 2.6011, time 19.08ms, mfu 0.52%
iter 220: loss 2.5981, time 18.74ms, mfu 0.52%
iter 230: loss 2.5683, time 20.62ms, mfu 0.52%
iter 240: loss 2.5833, time 18.51ms, mfu 0.52%
step 250: train loss 2.5391, val loss 2.5336
saving checkpoint to out-shakespeare-char
iter 250: loss 2.5661, time 13638.51ms, mfu 0.47%
iter 260: loss 2.5751, time 19.33ms, mfu 0.47%
iter 270: loss 2.5834, time 19.62ms, mfu 0.48%
iter 280: loss 2.5486, time 20.75ms, mfu 0.48%
iter 290: loss 2.5284, time 19.12ms, mfu 0.48%
iter 300: loss 2.5487, time 23.72ms, mfu 0.48%
iter 310: loss 2.5629, time 19.92ms, mfu 0.48%
iter 320: loss 2.5122, time 19.79ms, mfu 0.48%
iter 330: loss 2.5136, time 19.83ms, mfu 0.48%
iter 340: loss 2.5250, time 19.26ms, mfu 0.49%
iter 350: loss 2.4887, time 22.92ms, mfu 0.48%
iter 360: loss 2.5108, time 18.71ms, mfu 0.49%
iter 370: loss 2.5054, time 19.22ms, mfu 0.49%
iter 380: loss 2.5382, time 20.09ms, mfu 0.49%
iter 390: loss 2.5020, time 20.51ms, mfu 0.49%
iter 400: loss 2.5079, time 29.72ms, mfu 0.48%
iter 410: loss 2.4848, time 25.37ms, mfu 0.47%
iter 420: loss 2.4938, time 28.07ms, mfu 0.46%
iter 430: loss 2.4920, time 24.44ms, mfu 0.45%
iter 440: loss 2.4857, time 26.84ms, mfu 0.44%
iter 450: loss 2.4704, time 34.26ms, mfu 0.43%
iter 460: loss 2.4665, time 24.54ms, mfu 0.43%
iter 470: loss 2.4901, time 27.14ms, mfu 0.42%
iter 480: loss 2.4847, time 25.40ms, mfu 0.42%
iter 490: loss 2.4646, time 29.81ms, mfu 0.41%
step 500: train loss 2.4207, val loss 2.4171
saving checkpoint to out-shakespeare-char
iter 500: loss 2.4720, time 4770.84ms, mfu 0.37%
iter 510: loss 2.4600, time 19.06ms, mfu 0.38%
iter 520: loss 2.4342, time 22.79ms, mfu 0.39%
iter 530: loss 2.4678, time 17.99ms, mfu 0.41%
iter 540: loss 2.4874, time 18.23ms, mfu 0.42%
iter 550: loss 2.4608, time 20.85ms, mfu 0.43%
iter 560: loss 2.4408, time 19.05ms, mfu 0.44%
iter 570: loss 2.4257, time 17.22ms, mfu 0.45%
iter 580: loss 2.4207, time 21.42ms, mfu 0.45%
iter 590: loss 2.4534, time 19.17ms, mfu 0.46%
iter 600: loss 2.4288, time 19.32ms, mfu 0.46%
iter 610: loss 2.4399, time 18.66ms, mfu 0.47%
iter 620: loss 2.4560, time 19.54ms, mfu 0.48%
iter 630: loss 2.4539, time 18.84ms, mfu 0.48%
iter 640: loss 2.4448, time 18.39ms, mfu 0.49%
iter 650: loss 2.4439, time 19.07ms, mfu 0.49%
iter 660: loss 2.4351, time 20.02ms, mfu 0.49%
iter 670: loss 2.4253, time 18.60ms, mfu 0.50%
iter 680: loss 2.4334, time 21.17ms, mfu 0.49%
iter 690: loss 2.4267, time 18.34ms, mfu 0.50%
iter 700: loss 2.4368, time 19.18ms, mfu 0.50%
iter 710: loss 2.4117, time 19.49ms, mfu 0.50%
iter 720: loss 2.4177, time 18.15ms, mfu 0.51%
iter 730: loss 2.4164, time 18.84ms, mfu 0.51%
iter 740: loss 2.4130, time 19.60ms, mfu 0.51%
step 750: train loss 2.3652, val loss 2.3728
saving checkpoint to out-shakespeare-char
iter 750: loss 2.4216, time 4953.86ms, mfu 0.46%
iter 760: loss 2.4011, time 27.59ms, mfu 0.45%
iter 770: loss 2.4053, time 29.38ms, mfu 0.44%
iter 780: loss 2.4079, time 27.14ms, mfu 0.43%
iter 790: loss 2.3899, time 23.17ms, mfu 0.43%
iter 800: loss 2.4020, time 19.50ms, mfu 0.44%
iter 810: loss 2.4053, time 19.70ms, mfu 0.45%
iter 820: loss 2.4074, time 18.84ms, mfu 0.45%
iter 830: loss 2.4260, time 18.55ms, mfu 0.46%
iter 840: loss 2.4097, time 18.79ms, mfu 0.47%
iter 850: loss 2.4057, time 21.04ms, mfu 0.47%
iter 860: loss 2.4039, time 21.34ms, mfu 0.47%
iter 870: loss 2.4062, time 19.23ms, mfu 0.48%
iter 880: loss 2.3839, time 23.19ms, mfu 0.47%
iter 890: loss 2.3958, time 19.78ms, mfu 0.47%
iter 900: loss 2.3976, time 18.92ms, mfu 0.48%
iter 910: loss 2.4052, time 18.69ms, mfu 0.48%
iter 920: loss 2.4160, time 19.53ms, mfu 0.49%
iter 930: loss 2.3856, time 24.43ms, mfu 0.48%
iter 940: loss 2.3940, time 19.30ms, mfu 0.48%
iter 950: loss 2.3860, time 18.92ms, mfu 0.49%
iter 960: loss 2.4012, time 19.00ms, mfu 0.49%
iter 970: loss 2.3897, time 19.45ms, mfu 0.49%
iter 980: loss 2.3890, time 19.87ms, mfu 0.49%
iter 990: loss 2.3918, time 19.57ms, mfu 0.50%
step 1000: train loss 2.3342, val loss 2.3457
saving checkpoint to out-shakespeare-char
iter 1000: loss 2.3988, time 4398.84ms, mfu 0.45%
iter 1010: loss 2.3953, time 19.82ms, mfu 0.45%
iter 1020: loss 2.4020, time 19.02ms, mfu 0.46%
iter 1030: loss 2.3883, time 18.98ms, mfu 0.47%
iter 1040: loss 2.3846, time 20.28ms, mfu 0.47%
iter 1050: loss 2.3924, time 34.84ms, mfu 0.45%
iter 1060: loss 2.3747, time 29.25ms, mfu 0.44%
iter 1070: loss 2.3763, time 32.22ms, mfu 0.43%
iter 1080: loss 2.3902, time 22.57ms, mfu 0.43%
iter 1090: loss 2.3814, time 28.65ms, mfu 0.42%
iter 1100: loss 2.4076, time 28.90ms, mfu 0.41%
iter 1110: loss 2.3844, time 23.69ms, mfu 0.41%
iter 1120: loss 2.3821, time 23.37ms, mfu 0.42%
iter 1130: loss 2.3605, time 23.37ms, mfu 0.42%
iter 1140: loss 2.3953, time 41.91ms, mfu 0.40%
iter 1150: loss 2.3895, time 28.48ms, mfu 0.39%
iter 1190: loss 2.3946, time 25.61ms, mfu 0.38%
iter 1200: loss 2.3751, time 32.15ms, mfu 0.37%
iter 1210: loss 2.3638, time 19.91ms, mfu 0.39%
iter 1220: loss 2.3902, time 20.41ms, mfu 0.40%
iter 1190: loss 2.3946, time 25.61ms, mfu 0.38%
iter 1280: loss 2.3788, time 20.18ms, mfu 0.40%
iter 1390: loss 2.3617, time 18.93ms, mfu 0.47%
iter 1390: loss 2.3617, time 18.93ms, mfu 0.47%
iter 1390: loss 2.3617, time 18.93ms, mfu 0.47%
step 1500: train loss 2.2900, val loss 2.31187%
iter 1590: loss 2.3558, time 23.76ms, mfu 0.46%
iter 1700: loss 2.3475, time 18.42ms, mfu 0.49%
iter 1700: loss 2.3475, time 18.42ms, mfu 0.49%
iter 1700: loss 2.3475, time 18.42ms, mfu 0.49%
iter 1790: loss 2.3557, time 26.55ms, mfu 0.42%
iter 1900: loss 2.3491, time 22.28ms, mfu 0.43%
iter 1900: loss 2.3491, time 22.28ms, mfu 0.43%
saving checkpoint to out-shakespeare-char 0.43%
iter 2100: loss 2.3592, time 18.57ms, mfu 0.49%
iter 2210: loss 2.3229, time 24.04ms, mfu 0.41%
iter 2210: loss 2.3229, time 24.04ms, mfu 0.41%
iter 2300: loss 2.3347, time 20.46ms, mfu 0.40%
iter 2410: loss 2.3131, time 18.71ms, mfu 0.47%
iter 2410: loss 2.3131, time 18.71ms, mfu 0.47%
iter 2500: loss 2.3085, time 5225.21ms, mfu 0.45%
iter 2610: loss 2.2970, time 19.38ms, mfu 0.48%5%
iter 2610: loss 2.2970, time 19.38ms, mfu 0.48%5%
iter 2720: loss 2.3240, time 19.23ms, mfu 0.49%5%
step 2750: train loss 2.2127, val loss 2.24219%5%
iter 2790: loss 2.3077, time 29.83ms, mfu 0.42%5%
iter 2860: loss 2.2893, time 31.53ms, mfu 0.39%5%
iter 2940: loss 2.2922, time 19.40ms, mfu 0.43%5%
step 3000: train loss 2.2003, val loss 2.23343%5%
iter 3010: loss 2.2838, time 22.25ms, mfu 0.42%5%
iter 3110: loss 2.2754, time 24.51ms, mfu 0.47%5%
iter 3200: loss 2.2859, time 23.41ms, mfu 0.46%5%
step 3250: train loss 2.1867, val loss 2.22166%5%
iter 3340: loss 2.2759, time 18.39ms, mfu 0.47%5%
iter 3440: loss 2.2828, time 18.83ms, mfu 0.50%5%
step 3500: train loss 2.1747, val loss 2.21070%5%
iter 3570: loss 2.2801, time 38.56ms, mfu 0.39%5%
iter 3650: loss 2.2604, time 20.36ms, mfu 0.44%5%
iter 3740: loss 2.2572, time 19.11ms, mfu 0.46%5%
step 3750: train loss 2.1619, val loss 2.19966%5%
iter 3810: loss 2.2511, time 33.93ms, mfu 0.44%5%
iter 3880: loss 2.2286, time 31.12ms, mfu 0.40%5%
iter 3950: loss 2.2438, time 36.82ms, mfu 0.35%5%
step 4000: train loss 2.1498, val loss 2.18885%5%
iter 4020: loss 2.2505, time 18.42ms, mfu 0.38%5%
iter 4120: loss 2.2364, time 20.59ms, mfu 0.47%5%
iter 4210: loss 2.2414, time 23.81ms, mfu 0.49%5%
step 4250: train loss 2.1381, val loss 2.17869%5%
iter 4320: loss 2.2502, time 21.27ms, mfu 0.44%5%
iter 4410: loss 2.2224, time 22.38ms, mfu 0.45%5%
step 4500: train loss 2.1225, val loss 2.16585%5%
iter 4540: loss 2.2350, time 37.84ms, mfu 0.37%5%
iter 4610: loss 2.1960, time 19.64ms, mfu 0.42%5%
iter 4700: loss 2.2268, time 20.92ms, mfu 0.45%5%
step 4750: train loss 2.1116, val loss 2.15815%5%
iter 4780: loss 2.2143, time 19.18ms, mfu 0.45%5%
iter 4870: loss 2.2030, time 28.68ms, mfu 0.43%5%
iter 4940: loss 2.2337, time 28.92ms, mfu 0.40%5%
step 5000: train loss 2.1021, val loss 2.14750%5%
step 5000: train loss 2.1021, val loss 2.14750%5%
